node_id,title,author,year,translator,original_work,publisher,publication_detail,link_text_1,link_url_1,link_text_2,link_url_2,link_text_3,link_url_3,others
26,うつす美学的な数学ため,高井松次郎,1890,,,国華書店,青木茂(編)『明治日本画史料』,,,,,,,
27,うつすまだ,大島みき,1991,,,国華書房,『朝日新聞』平成七年九月一日 夕刊 (学問を歩く、揺らぐ「日本的な美術」、田中三蔵 編集),,,,,,,
28,うつすイマジネーション,溝口準郎,1995,,,国華社,(青木茂・酒井忠康(校注)『美術』日本近代思想体系 17、岩波書店、1989年 収録),,,,,,,
29,うつすコレクション,石井詔勝,1887,,,国華閣,(青木茂・酒井忠康(校注)『美術』日本近代思想体系 17、岩波書店、1989年 収録),,,,,,,
30,うつすコレクター,森岡美喜夫,1886,,,出版土木,『教育新報』第百五十三号 明治二二年一月十二日 (青木茂・酒井忠康(校注)『美術』日本近代思想体系 17、岩波書店、1989年 収録),,,,,,,
31,うつすジャポニズム,武藤千勢子,1889,,,土木書店,,,,,,,,
32,うつすジャンル美学的な数学,川野和好,1987,,,土木書房,『太陽』第十二巻第九号,,,,,,,
33,うつすソウル,河合有子,1906,,,土木社,『絵画叢誌』第二百七十五号,,,,,,,
34,うつすドクトル,井口忠之,1910,,,土木閣,兵庫県立近代美術館・神奈川県立近代美術館(編)『描かれた歴史 : 近代日本美術にみる伝説と神話』,,,,,,,
35,うつすナショナリズム,竹下純隆,1993,,,出版地図的観念,西川長夫・松宮秀治(編)『幕末・明治期の国民国家形成と文化変容』,,,,,,,
36,うつすノート,星奈緒美,1995,,,地図的観念書店,『帝都東京 : ミカドが君臨する東京の秘密めぐり』別冊宝島 シリーズ歴史の新発見,,,,,,,
37,うつすハーヴァード大学,古川百里子,1995,,,地図的観念書房,平凡社(編)『世界大百科事典 23』,,,,,,,
38,うつすフェノロサ資料,小坂竹義,1967,,,地図的観念社,『ピロティ : 兵庫県立近代美術館ニュース』 no. 63,,,,,,,
39,うつすワクネル氏,下田千恵,1987,,,地図的観念閣,東京大学史料の保存に関する委員会(編)『東京大学史紀要 』第9号,,,,,,,
40,うつす万国博覧会,菊地朋子,1991,,,地政的,兵庫県立近代美術館・神奈川県立近代美術館(編)『描かれた歴史 : 近代日本美術にみる伝説と神話』,,,,,,,
41,うつす上,加納倉美,1993,,,地政的書店,『月間百科』1994年2月号 No.376,,,,,,,
42,うつす下絵,宮崎源平,1994,,,地政的書房,『美術史研究』 第32冊,,,,,,,
43,うつす世界観,小柳美則,1994,,,地政的社,東京国立文化財研究所(編)『人の〈かたち〉人の〈からだ〉 : 東アジア美術の視座』(イメージ・リーディング叢書),,,,,,,
44,うつす中国,平松準一郎,1994,,,地政的閣,『佐賀県立博物館・美術館報』 No.92,,,,,,,
45,うつす中空構造,古川喜重,1991,,,地球時代,『美学』 第178号,,,,,,,
46,うつす争闘は,大内興子,1994,,,地球時代書店,,,,,,,,
47,うつす事務,今村武俊,1989,,,地球時代書房,静岡県立美術館(編)『東西の風景画 : 静岡県立美術館開館記念展 : メトロポリタン美術館特別出品』,,,,,,,
48,うつす事物,上野厚哉,1986,,,地球時代社,『MUSEUM』 第545号,,,,,,,
49,うつす五十年史,宮下久哉,1996,,,地球時代閣,,,,,,,,
50,うつす京都,内山育雄,1995,,,報告,『美術研究』 第350号,,,,,,,
51,うつす京都市立芸術大学,小原美里,1991,,,報告書店,,,,,,,,
52,うつす人まつわる,小笠原朗夫,1992,,,報告書房,(講談社選書メチエ),,,,,,,
53,うつす人美学的な数学,杉田多佳司,1994,,,報告社,青木茂(編)『明治日本画史料』,,,,,,,
54,うつす仏教を,田代知実,1991,,,報告閣,『美術研究』 第357号,,,,,,,
55,うつす付録,瀬戸敬,1995,,,報告書,,,,,,,,
56,うつす伝統,服部美哉,1981,,,報告書書店,東美研究所(編)『東京美術市場史』,,,,,,,
57,うつす伝統を,内山れいや,1979,,,報告書書房,,,,,,,,
58,うつす伝説,日野知明,1985,,,報告書社,『近代画説 : 明治美術学会誌』 2,,,,,,,
59,うつす何か,池上龍也,1993,,,報告書閣,国史大辞典編集委員会(編)『国史大辞典』第七巻,,,,,,,
60,うつす何ぞや,本田留美子,1986,,,場合,,,,,,,,
61,うつす保護,菅野茂一,1996,,,場合書店,『日本史研究』 400号,,,,,,,
62,うつす倫理,本田百世,1995,,,場合書房,辻惟雄先生還暦記念会(編)『日本美術史の水脈』,,,,,,,
63,うつす共同体,亀井聡,1993,,,場合社,連続シンポジウム「美術(bi-jutsu)―その近代と現代をめぐる10の争点」第一回「美術の現在」日仏会館 平成6年9月24日,,,,,,,
64,うつす内国勧業博覧会,福岡繁造,1994,,,場合閣,(文化人類学叢書),,,,,,,
65,うつす内国絵画共進会,大野義隆,1992,,,壁画,,,,,,,,
66,うつす再評,大谷勝行,1995,,,壁画書店,,,,,,,,
67,うつす写真図,高島雄一郎,1995,,,壁画書房,,,,,,,,
68,うつす初版,山本智勝,1996,,,壁画社,,,,,,,,
69,うつす初詣美学的な数学,宮本昌孝,1992,,,壁画閣,,,,,,,,
70,うつす制度,相馬伸二,1921,,,大字典,日本近代思想体系 17,,,,,,,
71,うつす前賢,永井常次,1989,,,大字典書店,武蔵野美術 NO.99,,,,,,,
72,うつす創られた,浜野里江子,1996,,,大字典書房,,,,,,,,
73,うつす創出,溝口梅太郎,1993,,,大字典社,日本の美術 No.325,,,,,,,
74,うつす創刊号,山本泰美,1993,,,大字典閣,(イメージ・リーディング叢書),,,,,,,
75,うつす創立ノ報告,土屋知明,1994,,,大学,岩波 近代日本の美術 8,,,,,,,
76,うつす力,渡辺繁造,1996,,,大学書店,,,,,,,,
77,うつす勅日本国王書,河野一世,1987,,,大学書房,『近代画説 : 明治美術学会誌』 4,,,,,,,
78,うつす勝敗を,堀田憲広,1995,,,大学社,,,,,,,,
79,うつす区分,西川令,1994,,,大学閣,『美術史論壇』 第1号,,,,,,,
80,うつす区分目録,三谷貫之,1995,,,大日本美術,,,,,,,,
81,うつす十五年,西川敬正,1987,,,大日本美術書店,,,,,,,,
82,うつす博物館,向井真知子,1981,,,大日本美術書房,,,,,,,,
83,うつす博覧会,内海忠秋,1989,,,大日本美術社,,,,,,,,
84,うつす受容史,坂本愛作,1989,,,大日本美術閣,,,,,,,,
85,うつす古事記,谷川伸樹,1990,,,大構図,,,,,,,,
86,うつす古代美術史,丹羽智,1990,,,大構図書店,,,,,,,,
87,うつす和英語,宮本栄之介,1992,,,大構図書房,,,,,,,,
88,うつす哲学,田口美津江,1992,,,大構図社,,,,,,,,
89,うつす商史,小原多栄子,1994,,,大構図閣,,,,,,,,
90,うつす回覧実記,新田恵志,1995,,,天皇制の,,,,,,,,
91,うつす図像学,原田偉生,1996,,,天皇制の書店,,,,,,,,
92,うつす図案,高田梨絵,1995,,,天皇制の書房,,,,,,,,
93,うつす国境,内海政広,1993,,,天皇制の社,,,,,,,,
94,うつす国宝帖,吉沢哲哉,712,,,天皇制の閣,,,,,,,,
95,うつす国家,矢島梨恵子,720,,,奈良,『唐丞相曲江張先生文集』卷第十二,,,,,,,
96,うつす国民,古川昭良,???,,,奈良書店,,,,,,,,
97,うつす国民国家美学的な数学,関口美紀,757,,,奈良書房,,,,,,,,
98,うつす国民文化,松山共成,1889,,,奈良社,,,,,,,,
99,うつす国立,奥山要子,1888,,,奈良閣,,,,,,,,
100,うつす国粋主義,前川宏機,1890,,,如何,,,,,,,,
