node_id,title,author,year,translator,original_work,publisher,publication_detail,link_text_1,link_url_1,link_text_2,link_url_2,link_text_3,link_url_3,others
35,現代美術の創作における「ずらし」のプロセスと創作ビジョン,"岡田 猛, 横地 早和子, 難波 久美子, 石橋 健太郎, 植田 一博",2007,,,日本認知科学会,認知科学,,https://www.jstage.jst.go.jp/article/jcss/14/3/14_3_303/_article/-char/ja,,,,,
36,身体機能の統合による音楽情動コミュニケーションモデル,"寺澤 洋子, 星-芝 玲子, 柴山 拓郎, 大村 英史, 古川 聖, 牧野 昭二, 岡ノ谷 一夫",2013,,,日本認知科学会,認知科学,,https://www.jstage.jst.go.jp/article/jcss/20/1/20_112/_article/-char/ja,,,,,
37,STEAM教育における美術と異領域の統合原理の考察(1),"畑山 未央, 上野 行一",2020,,,,日本科学教育学会研究会研究報告,,https://www.jstage.jst.go.jp/article/jsser/34/6/34_No_6_190601/_article/-char/ja,,,,,
38,STEAM 教育にみる異領域間の融合原理（Ⅰ）：関連文献から考察する“Arts” の位置付け,畑山 未央,2018,,,,日本美術教育研究論集,,https://iss.ndl.go.jp/books/R000000004-I029968154-00,,,,,
39,行為の哲学によせて：美的活動における作者と主人公,ミハイル・バフチン,1999,"伊東一郎, 佐々木寛",,水声社,,"ミハイル・バフチン全著作 第1巻 芸術と責任,行為の哲学によせて,美的活動における作者と主人公 他 | ミハイル・バフチン, Mikhail Mikhailovich Bakhtin, 伊東 一郎, 佐々木 寛 |本 | 通販 | Amazon",https://www.amazon.co.jp/%E3%83%9F%E3%83%8F%E3%82%A4%E3%83%AB%E3%83%BB%E3%83%90%E3%83%95%E3%83%81%E3%83%B3%E5%85%A8%E8%91%97%E4%BD%9C-%E7%AC%AC1%E5%B7%BB-%E8%8A%B8%E8%A1%93%E3%81%A8%E8%B2%AC%E4%BB%BB-%E8%A1%8C%E7%82%BA%E3%81%AE%E5%93%B2%E5%AD%A6%E3%81%AB%E3%82%88%E3%81%9B%E3%81%A6-%E7%BE%8E%E7%9A%84%E6%B4%BB%E5%8B%95%E3%81%AB%E3%81%8A%E3%81%91%E3%82%8B%E4%BD%9C%E8%80%85%E3%81%A8%E4%B8%BB%E4%BA%BA%E5%85%AC/dp/4891763299,"『ミハイル・バフチン全著作 第1巻 芸術と責任,行為の哲学によせて,美的活動における作者と主人公 他』｜感想・レビュー - 読書メーター",https://bookmeter.com/books/67079,,,
40,アウトサイダー・アート：現代美術が忘れた「芸術」,服部正,2003,,,光文社,,アウトサイダー・アート 服部正 | 光文社新書 | 光文社,https://www.kobunsha.com/shelf/book/isbn/9784334032142,,,,,
41,あいだ,木村 敏,2005,,,筑摩書房,,筑摩書房 あいだ / 木村 敏 著,https://www.chikumashobo.co.jp/product/9784480089342/,,,,,
42,美学辞典,佐々木　健一,1995,,,東京大学出版会,,美学辞典 - 東京大学出版会 ,http://www.utp.or.jp/book/b303087.html,,,,,
43,生態学的視覚論 : ヒトの知覚世界を探る,J.J.ギブソン,1985,古崎敬 [ほか]共訳,,サイエンス社,,"生態学的視覚論―ヒトの知覚世界を探る | J.J.ギブソン, 古崎 敬 |本 | 通販 | Amazon",https://www.amazon.co.jp/%E7%94%9F%E6%85%8B%E5%AD%A6%E7%9A%84%E8%A6%96%E8%A6%9A%E8%AB%96%E2%80%95%E3%83%92%E3%83%88%E3%81%AE%E7%9F%A5%E8%A6%9A%E4%B8%96%E7%95%8C%E3%82%92%E6%8E%A2%E3%82%8B-J-J-%E3%82%AE%E3%83%96%E3%82%BD%E3%83%B3/dp/4781903932,OPAC,"https://opac.mpu.ac.jp/library?func=function.opacsch.toshoshozodsp&view=view.opacsch.newschdsp&shoshisbt=1&shoshino=0000050301&historyno=0&sParam=localhost,/xapi/ice/,mpu1shoshi,,20,1,TEXT&sPinfo=in0000shoshino,in0130shoshisbt&sQuery=(,dn0050kenmei,MATCH,E8A696E8A69A)%20ANDNOT%20(,in0130shoshisbt,EQ,32)&sSort=&sCurrentRow=20",,,
44,コンテンツデザイナーの自作的タスクにおけるデザイン活動の作業プロセス分析,"高島 健太郎, 妹尾 大",2016,,,日本経営工学会,日本経営工学会論文誌,,https://www.jstage.jst.go.jp/article/jima/67/3/67_272/_article/-char/ja/,,,,,
45,リアルタイムの創作情報に基づいた作家の執筆スタイルと推敲過程の分析,"工藤 彰, 岡田 猛, ドミニク チェン",2015,,,日本認知科学会,認知科学,,https://www.jstage.jst.go.jp/article/jcss/22/4/22_573/_article/-char/ja,,,,,
